order_id,order_date,region,salesperson,category,product,quantity,unit_price,sales_amount,discount,profit,payment_mode
1,2026-04-23,North,Arjun,Electronics,Mouse,9,79922,719298,126554.34,13616.12,Card
2,2026-01-06,East,Kiran,Appliances,Mixer,9,26304,236736,38194.42,48414.73,UPI
3,2025-09-18,Central,Priya,Furniture,Desk,5,36337,181685,15485.45,61700.06,Cash
4,2025-07-06,North,Vikram,Appliances,Washing Machine,1,59844,59844,8335.12,2901.97,Cash
5,2025-02-12,South,Rahul,Appliances,Mixer,5,9164,45820,5843.0,13996.99,Cash
6,2025-01-05,North,Kiran,Furniture,Desk,1,46193,46193,4979.28,8452.46,Cash
7,2026-01-31,South,Sneha,Appliances,Refrigerator,2,33075,66150,12533.64,1990.1,Card
8,2025-11-07,West,Priya,Electronics,Tablet,8,64182,513456,82819.27,21113.74,Net Banking
9,2025-07-17,North,Sneha,Electronics,Phone,4,53212,212848,10289.82,77498.58,UPI
10,2025-02-01,East,Neha,Appliances,Mixer,6,57866,347196,38329.19,50358.12,Net Banking
11,2025-11-25,South,Rahul,Office Supplies,Marker,9,74307,668763,15704.25,283878.22,UPI
12,2025-07-31,South,Sneha,Furniture,Table,15,10031,150465,21843.36,39188.16,Cash
13,2025-01-27,South,Kiran,Appliances,Microwave,3,33042,99126,13368.19,8471.64,Cash
14,2026-05-31,Central,Anjali,Furniture,Sofa,7,22260,155820,8492.41,37405.58,Card
15,2025-06-12,South,Vikram,Appliances,Mixer,2,57332,114664,19299.45,5597.0,UPI
16,2026-04-21,South,Priya,Electronics,Laptop,13,13015,169195,18537.82,21321.71,Cash
17,2025-06-05,South,Sneha,Appliances,Air Conditioner,5,48391,241955,39499.84,65940.99,Net Banking
18,2025-08-29,South,Meera,Office Supplies,Stapler,10,26408,264080,34171.15,35235.82,UPI
19,2025-12-18,South,Meera,Furniture,Table,3,75216,225648,35742.16,59124.69,UPI
20,2025-05-06,East,Meera,Office Supplies,Marker,15,10138,152070,20872.35,34039.53,UPI
21,2025-11-06,South,Kiran,Electronics,Tablet,1,33187,33187,2681.39,5025.81,Net Banking
22,2026-04-13,North,Anjali,Office Supplies,Notebook,13,26155,340015,13431.2,111611.11,UPI
23,2026-06-05,Central,Neha,Furniture,Bookshelf,5,25214,126070,12749.94,34576.42,Cash
24,2025-11-15,South,Priya,Electronics,Keyboard,13,10823,140699,23444.62,3438.66,UPI
25,2026-02-02,Central,Kiran,Electronics,Monitor,6,24343,146058,22989.37,8106.21,UPI
26,2025-09-22,Central,Anjali,Furniture,Chair,13,42158,548054,52398.73,99050.93,Cash
27,2025-06-05,South,Vikram,Electronics,Phone,15,64292,964380,163289.05,254934.34,Net Banking
28,2025-04-29,South,Rohit,Appliances,Washing Machine,1,47050,47050,1161.65,16165.04,Cash
29,2026-04-17,West,Anjali,Furniture,Sofa,2,47863,95726,3304.04,34039.86,UPI
30,2026-03-28,East,Sneha,Appliances,Washing Machine,4,37544,150176,12350.6,38473.47,UPI
31,2025-02-19,West,Arjun,Office Supplies,Printer Paper,4,20068,80272,737.4,14994.77,Cash
32,2025-09-05,West,Sneha,Office Supplies,Envelope,13,13813,179569,2450.91,33527.38,Card
33,2026-03-07,Central,Arjun,Furniture,Table,14,40119,561666,36396.57,69320.6,Cash
34,2025-02-09,West,Meera,Electronics,Laptop,2,12447,24894,4836.58,3492.55,UPI
35,2025-06-30,West,Priya,Furniture,Bookshelf,12,60113,721356,86277.24,50485.81,Card
36,2026-06-10,Central,Meera,Appliances,Washing Machine,11,78451,862961,23169.34,185325.18,Cash
37,2025-03-19,North,Vikram,Office Supplies,Stapler,14,17077,239078,31225.15,54905.82,UPI
38,2025-04-03,North,Arjun,Office Supplies,Envelope,15,46342,695130,9251.27,117754.95,Card
39,2025-03-13,Central,Meera,Electronics,Keyboard,7,48809,341663,21610.57,106235.78,Cash
40,2026-03-06,West,Rahul,Appliances,Mixer,10,40415,404150,6768.57,102012.11,Card
41,2025-06-08,East,Sneha,Electronics,Phone,8,27795,222360,15798.38,84094.7,Net Banking
42,2025-03-06,West,Priya,Furniture,Desk,11,71611,787721,141983.1,68869.04,Cash
43,2025-05-04,South,Sneha,Electronics,Monitor,4,64058,256232,5958.12,83753.46,UPI
44,2025-05-07,West,Vikram,Appliances,Refrigerator,4,76382,305528,42066.32,71093.26,UPI
45,2025-07-19,West,Rohit,Electronics,Mouse,13,21054,273702,44926.5,69205.12,Cash
46,2025-08-10,North,Arjun,Furniture,Sofa,13,72378,940914,181517.51,154636.08,Card
47,2025-10-03,North,Vikram,Furniture,Desk,7,24582,172074,2959.15,30934.13,Card
48,2026-06-07,Central,Neha,Appliances,Air Conditioner,6,57778,346668,6445.02,102366.29,Net Banking
49,2025-03-23,West,Meera,Office Supplies,Stapler,3,12075,36225,97.89,7067.78,UPI
50,2025-08-07,Central,Anjali,Appliances,Washing Machine,11,79674,876414,11299.84,350198.63,Net Banking
51,2025-12-04,North,Vikram,Electronics,Mouse,9,59316,533844,55187.29,41350.9,UPI
