order_id,order_date,Month Name,region,salesperson,category,product,quantity,unit_price,sales_amount,discount,profit,profit_margin_percent,payment_mode
1,23-04-2026,April,North,Arjun,Electronics,Mouse,9,79922,719298,126554.34,13616.12,1.89,Card
2,06-01-2026,January,East,Kiran,Appliances,Mixer,9,26304,236736,38194.42,48414.73,20.45,UPI
3,18-09-2025,September,Central,Priya,Furniture,Desk,5,36337,181685,15485.45,61700.06,33.96,Cash
4,06-07-2025,July,North,Vikram,Appliances,Washing Machine,1,59844,59844,8335.12,2901.97,4.85,Cash
5,12-02-2025,February,South,Rahul,Appliances,Mixer,5,9164,45820,5843,13996.99,30.55,Cash
6,05-01-2025,January,North,Kiran,Furniture,Desk,1,46193,46193,4979.28,8452.46,18.3,Cash
7,31-01-2026,January,South,Sneha,Appliances,Refrigerator,2,33075,66150,12533.64,1990.1,3.01,Card
8,07-11-2025,November,West,Priya,Electronics,Tablet,8,64182,513456,82819.27,21113.74,4.11,Net Banking
9,17-07-2025,July,North,Sneha,Electronics,Phone,4,53212,212848,10289.82,77498.58,36.41,UPI
10,01-02-2025,February,East,Neha,Appliances,Mixer,6,57866,347196,38329.19,50358.12,14.5,Net Banking
11,25-11-2025,November,South,Rahul,Office Supplies,Marker,9,74307,668763,15704.25,283878.22,42.45,UPI
12,31-07-2025,July,South,Sneha,Furniture,Table,15,10031,150465,21843.36,39188.16,26.04,Cash
13,27-01-2025,January,South,Kiran,Appliances,Microwave,3,33042,99126,13368.19,8471.64,8.55,Cash
14,31-05-2026,May,Central,Anjali,Furniture,Sofa,7,22260,155820,8492.41,37405.58,24.01,Card
15,12-06-2025,June,South,Vikram,Appliances,Mixer,2,57332,114664,19299.45,5597,4.88,UPI
16,21-04-2026,April,South,Priya,Electronics,Laptop,13,13015,169195,18537.82,21321.71,12.6,Cash
17,05-06-2025,June,South,Sneha,Appliances,Air Conditioner,5,48391,241955,39499.84,65940.99,27.25,Net Banking
18,29-08-2025,August,South,Meera,Office Supplies,Stapler,10,26408,264080,34171.15,35235.82,13.34,UPI
19,18-12-2025,December,South,Meera,Furniture,Table,3,75216,225648,35742.16,59124.69,26.2,UPI
20,06-05-2025,May,East,Meera,Office Supplies,Marker,15,10138,152070,20872.35,34039.53,22.38,UPI
21,06-11-2025,November,South,Kiran,Electronics,Tablet,1,33187,33187,2681.39,5025.81,15.14,Net Banking
22,13-04-2026,April,North,Anjali,Office Supplies,Notebook,13,26155,340015,13431.2,111611.11,32.83,UPI
23,05-06-2026,June,Central,Neha,Furniture,Bookshelf,5,25214,126070,12749.94,34576.42,27.43,Cash
24,15-11-2025,November,South,Priya,Electronics,Keyboard,13,10823,140699,23444.62,3438.66,2.44,UPI
25,02-02-2026,February,Central,Kiran,Electronics,Monitor,6,24343,146058,22989.37,8106.21,5.55,UPI
26,22-09-2025,September,Central,Anjali,Furniture,Chair,13,42158,548054,52398.73,99050.93,18.07,Cash
27,05-06-2025,June,South,Vikram,Electronics,Phone,15,64292,964380,163289.05,254934.34,26.44,Net Banking
28,29-04-2025,April,South,Rohit,Appliances,Washing Machine,1,47050,47050,1161.65,16165.04,34.36,Cash
29,17-04-2026,April,West,Anjali,Furniture,Sofa,2,47863,95726,3304.04,34039.86,35.56,UPI
30,28-03-2026,March,East,Sneha,Appliances,Washing Machine,4,37544,150176,12350.6,38473.47,25.62,UPI
31,19-02-2025,February,West,Arjun,Office Supplies,Printer Paper,4,20068,80272,737.4,14994.77,18.68,Cash
32,05-09-2025,September,West,Sneha,Office Supplies,Envelope,13,13813,179569,2450.91,33527.38,18.67,Card
33,07-03-2026,March,Central,Arjun,Furniture,Table,14,40119,561666,36396.57,69320.6,12.34,Cash
34,09-02-2025,February,West,Meera,Electronics,Laptop,2,12447,24894,4836.58,3492.55,14.03,UPI
35,30-06-2025,June,West,Priya,Furniture,Bookshelf,12,60113,721356,86277.24,50485.81,7,Card
36,10-06-2026,June,Central,Meera,Appliances,Washing Machine,11,78451,862961,23169.34,185325.18,21.48,Cash
37,19-03-2025,March,North,Vikram,Office Supplies,Stapler,14,17077,239078,31225.15,54905.82,22.97,UPI
38,03-04-2025,April,North,Arjun,Office Supplies,Envelope,15,46342,695130,9251.27,117754.95,16.94,Card
39,13-03-2025,March,Central,Meera,Electronics,Keyboard,7,48809,341663,21610.57,106235.78,31.09,Cash
40,06-03-2026,March,West,Rahul,Appliances,Mixer,10,40415,404150,6768.57,102012.11,25.24,Card
41,08-06-2025,June,East,Sneha,Electronics,Phone,8,27795,222360,15798.38,84094.7,37.82,Net Banking
42,06-03-2025,March,West,Priya,Furniture,Desk,11,71611,787721,141983.1,68869.04,8.74,Cash
43,04-05-2025,May,South,Sneha,Electronics,Monitor,4,64058,256232,5958.12,83753.46,32.69,UPI
44,07-05-2025,May,West,Vikram,Appliances,Refrigerator,4,76382,305528,42066.32,71093.26,23.27,UPI
45,19-07-2025,July,West,Rohit,Electronics,Mouse,13,21054,273702,44926.5,69205.12,25.28,Cash
46,10-08-2025,August,North,Arjun,Furniture,Sofa,13,72378,940914,181517.51,154636.08,16.43,Card
47,03-10-2025,October,North,Vikram,Furniture,Desk,7,24582,172074,2959.15,30934.13,17.98,Card
48,07-06-2026,June,Central,Neha,Appliances,Air Conditioner,6,57778,346668,6445.02,102366.29,29.53,Net Banking
49,23-03-2025,March,West,Meera,Office Supplies,Stapler,3,12075,36225,97.89,7067.78,19.51,UPI
50,07-08-2025,August,Central,Anjali,Appliances,Washing Machine,11,79674,876414,11299.84,350198.63,39.96,Net Banking
51,04-12-2025,December,North,Vikram,Electronics,Mouse,9,59316,533844,55187.29,41350.9,7.75,UPI
52,03-05-2026,May,South,Rahul,Furniture,Table,7,45896,321272,23184.96,110400.19,34.36,Card
53,07-09-2025,September,East,Priya,Furniture,Table,15,51491,772365,20553.79,294893.54,38.18,Net Banking
